sentiment,text,user,,
positive,"RT @DiawAhad: For more ML/ AI/Data Science/ Data Engineering learning materials, please check my previous posts.\n\nI share my learning journ…",BambaSpoid,,
positive,RT @gp_pulipaka: Free eBook: Exploring a #DataScience Career. #BigData #Analytics #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFl…,viviane41861305,,
positive,"The Future of the Modern Data Stack in 2022 | by Prukalpa | Jan, 2022 | Towards Data Science https://t.co/DoRNUeTobP https://t.co/bdPrBe52lL",abonel,,
neutral,Ask me about Fully Funded scholarship 📌\nAsk me about Cloud Engineering And Data Science📍,OnabanjoMico,,
neutral,RT @eddelbuettel: Lecture slides for my 'Data Science Programming Methods' course STAT 447 from this Fall 2021 at U of Illinois are now acc…,AukeHunneman,,
neutral,RT @JamesfWells: No I don't agree Jon and I think your comment makes you look like an ignorant bully!\n\nThe science does not back this cours…,Neph196911,,
positive,"RT @Aakriiti_Sharma: 5000+ friends, super grateful 🌻\nIf you are interested in:\n\n🐍 Python\n🐼 Pandas \n📗 Microsoft Excel \n🗃️ SQL\n📈 Tableau \n👩‍🔬…",marmegal80,,
positive,RT @KirkDBorne: 14 Best Free #DataScience with #Python Courses Online.\nvia @tut_ml \n—————\n#BigData #Analytics #MachineLearning #DeepLearnin…,g1nb1t,,
positive,RT @KirkDBorne: 70 Free Online Courses for #DataScience to Advance Your Skills in 2021.\nvia @tut_ml\n—\n#BigData #Analytics #MachineLearning…,g1nb1t,,
neutral,RT @JamesfWells: No I don't agree Jon and I think your comment makes you look like an ignorant bully!\n\nThe science does not back this cours…,simonort3,,
neutral,RT @JamesfWells: No I don't agree Jon and I think your comment makes you look like an ignorant bully!\n\nThe science does not back this cours…,evolvingmamma,,
